perioxi,class,per_sqm
Kefalonia,canteens,1511.1
Chania,canteens,607.7
Magnesia,canteens,384.6
Ilia,canteens,268.1
Chalkidiki,canteens,262.0
Argolis,umbrella seating,245.5
Dodecanese,canteens,197.1
Dodecanese,water sports,154.9
Achaea,canteens,147.0
Cyclades,water sports,129.9
Piraeus,water sports,123.8
Euboea,canteens,121.5
Magnesia,water sports,121.2
Rhodes,canteens,73.3
Lefkada,canteens,68.7
Cyclades,umbrella seating & canteens,63.8
Chania,water sports,59.4
Laconia,water sports,55.0
Pieria,canteens,53.1
Cyclades,umbrella seating,50.6
Heraklion,water sports,46.2
Kefalonia,water sports,45.1
Kefalonia,umbrella seating & canteens,45.0
Lesbos,canteens,45.0
Anatolia,umbrella seating,43.4
Argolis,water sports,42.8
Argolis,unknown use,42.3
Corfu,water sports,41.7
Euboea,water sports,40.5
Arta,canteens,37.8
Dodecanese,umbrella seating,34.6
Corfu,unknown use,34.1
Ilia,water sports,32.6
Aetolia,water sports,31.7
Kastoria,unknown use,31.5
Heraklion,unknown use,30.6
Heraklion,umbrella seating & water sports,30.6
Samos,umbrella seating & canteens,25.0
Rethymno,water sports,24.7
Piraeus,umbrella seating & canteens,24.5
Piraeus,umbrella seating,24.2
Kastoria,canteens,24.1
Laconia,umbrella seating & canteens,24.0
Evros,table seating,24.0
Laconia,оμπρελοκαθισματα & τραπεζοκαθισματα,23.9
Magnesia,umbrella seating,23.7
Kavala,unknown use,22.1
Lassithi,canteens,21.9
Anatolia,unknown use,21.0
Western Attica,umbrella seating & canteens,20.8
Anatolia,water sports,20.4
Larissa,water sports,20.0
Magnesia,unknown use,19.9
Preveza,unknown use,19.9
Messinia,canteens,19.6
Corfu,umbrella seating,18.2
Boeotia,water sports,18.0
Chania,umbrella seating,17.9
Heraklion,canteens,17.5
Kefalonia,umbrella seating,16.9
Korydallos,umbrella seating,16.6
Kavala,water sports,16.4
Chalkidiki,water sports,16.0
Kastoria,water sports,15.7
Messinia,water sports,15.5
Laconia,umbrella seating,15.5
Kavala,umbrella seating,15.0
Western Attica,umbrella seating,15.0
Chios,water sports,15.0
Pieria,water sports,15.0
Rethymno,umbrella seating,15.0
Lesbos,umbrella seating & canteens,14.7
Lassithi,umbrella seating,14.6
Lesbos,water sports,14.0
Samos,оμπρελοκαθισματα & τραπεζοκαθισματα,14.0
Laconia,umbrella seating & water sports,13.8
Korydallos,water sports,13.7
Rethymno,оμπρελοκαθισματα & τραπεζοκαθισματα,13.6
Larissa,unknown use,13.4
Zakynthos,umbrella seating,13.4
Zakynthos,unknown use,13.4
Zakynthos,water sports,13.4
Korydallos,unknown use,12.9
Laconia,unknown use,12.6
Chios,umbrella seating,12.3
Evros,unknown use,11.7
Evros,umbrella seating & canteens,11.7
Chios,umbrella seating & canteens,11.7
Thessalia,disability facilities,11.6
Aetolia,umbrella seating & canteens,11.6
Rhodes,water sports,11.5
Korydallos,canteens,11.5
Euboea,оμπρελοκαθισματα & τραπεζοκαθισματα,11.1
Samos,umbrella seating,11.0
Aetolia,canteens,10.7
Phthiotis,canteens,10.5
Serres,canteens,9.8
Heraklion,umbrella seating,9.7
Pieria,unknown use,9.5
Euboea,umbrella seating,9.4
Arcadia,canteens,9.2
Lesbos,umbrella seating,9.0
Xanthi,umbrella seating,8.6
Arcadia,umbrella seating & water sports,8.6
Arcadia,оμπρελοκαθισματα & τραπεζοκαθισματα,8.6
Pieria,umbrella seating,8.5
Pieria,оμπρελοκαθισματα & τραπεζοκαθισματα,8.4
Arcadia,umbrella seating,8.3
Thessalia,water sports,8.0
Evros,umbrella seating,7.8
Ilia,umbrella seating,7.7
Messinia,umbrella seating,7.5
Larissa,umbrella seating,7.4
Chalkidiki,umbrella seating,6.7
Phthiotis,оμπρελοκαθισματα & τραπεζοκαθισματα,6.6
Phthiotis,umbrella seating,6.4
Thesprotia,umbrella seating,6.0
Chalkidiki,unknown use,6.0
Aetolia,umbrella seating,5.9
Thessalia,umbrella seating,5.1
Preveza,umbrella seating,4.9
Serres,umbrella seating,4.9
Drama,unknown use,4.2
Euboea,unknown use,4.0
Achaea,umbrella seating,3.6
Rhodes,umbrella seating,1.3
Drama,оμπρελοκαθισματα & τραπεζοκαθισματα,0.6
Boeotia,umbrella seating,
Phthiotis,umbrella seating & canteens,
